17:11:47.658 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@27b000f7 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
17:11:48.885 INFO  review-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:11:48.885 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:11:48.887 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:11:48.915 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Started ReviewControllerTest in 2.149 seconds (process running for 2.945)
17:15:03.021 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Starting ReviewControllerTest using Java 17.0.13 with PID 5796 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
17:15:03.023 DEBUG review-service [main] b.p.s.c.ReviewControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:15:03.024 INFO  review-service [main] b.p.s.c.ReviewControllerTest - No active profile set, falling back to 1 default profile: "default"
17:15:03.044 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:15:03.044 INFO  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:15:03.044 WARN  review-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@2bc9a775 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/review-service/default": Connection refused: getsockopt
17:15:04.298 INFO  review-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:15:04.298 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:15:04.300 INFO  review-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:15:04.327 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Started ReviewControllerTest in 2.167 seconds (process running for 2.935)
17:15:04.420 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewsByPostId called postId=5
17:15:04.504 INFO  review-service [main] b.p.s.controller.ReviewController - ApprovePost requested postId=7
17:15:04.531 INFO  review-service [main] b.p.s.controller.ReviewController - GetReviewablePosts called reviewer=ann
17:18:58.467 INFO  review-service [main] b.p.s.c.ReviewControllerTest - Starting ReviewControllerTest using Java 17.0.13 with PID 26936 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\review-service)
