18:02:29.063 INFO  bookmark-service [main] o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
18:02:29.204 INFO  bookmark-service [main] o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:55713737-cd78-4f39-a945-e1a443d574c0;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
18:02:29.435 INFO  bookmark-service [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
18:02:29.504 INFO  bookmark-service [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
18:02:29.509 INFO  bookmark-service [main] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
18:02:29.695 INFO  bookmark-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
18:02:29.864 INFO  bookmark-service [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
18:02:29.911 INFO  bookmark-service [main] org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.H2Dialect, version: 2.1.214
18:02:30.123 INFO  bookmark-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
18:02:30.565 INFO  bookmark-service [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
18:02:30.595 INFO  bookmark-service [main] o.h.t.s.i.e.GenerationTargetToDatabase - HHH000476: Executing script '[injected ScriptSourceInputNonExistentImpl script]'
18:02:30.597 INFO  bookmark-service [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
18:02:30.966 INFO  bookmark-service [main] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
18:02:31.567 INFO  bookmark-service [main] b.p.s.r.BookmarkRepositoryTest - Started BookmarkRepositoryTest in 3.823 seconds (process running for 4.578)
18:02:31.868 INFO  bookmark-service [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
18:02:31.869 INFO  bookmark-service [SpringApplicationShutdownHook] o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
