17:25:22.998 INFO  comment-service [main] o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
17:25:23.168 INFO  comment-service [main] o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:ec2d0926-fa95-4b6a-8a98-b8a2f5559fc5;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
17:25:23.380 INFO  comment-service [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:25:23.432 INFO  comment-service [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.2.Final
17:25:23.433 INFO  comment-service [main] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
17:25:23.543 INFO  comment-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
17:25:23.647 INFO  comment-service [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
17:25:23.693 INFO  comment-service [main] org.hibernate.orm.dialect - HHH035001: Using dialect: org.hibernate.dialect.H2Dialect, version: 2.1.214
17:25:23.872 INFO  comment-service [main] o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
17:25:24.304 INFO  comment-service [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:25:24.331 INFO  comment-service [main] o.h.t.s.i.e.GenerationTargetToDatabase - HHH000476: Executing script '[injected ScriptSourceInputNonExistentImpl script]'
17:25:24.334 INFO  comment-service [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:25:24.705 INFO  comment-service [main] b.p.s.r.CommentRepositoryTest - Started CommentRepositoryTest in 3.063 seconds (process running for 3.844)
17:25:25.042 INFO  comment-service [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:25:25.042 INFO  comment-service [SpringApplicationShutdownHook] o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
17:25:34.904 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Starting CommentControllerTest using Java 17.0.13 with PID 13488 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\comment-service)
17:25:34.906 DEBUG comment-service [main] b.p.s.c.CommentControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:25:34.906 INFO  comment-service [main] b.p.s.c.CommentControllerTest - No active profile set, falling back to 1 default profile: "default"
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:25:34.930 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@6fd5717c uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:25:34.930 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@151db587 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:25:34.930 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:25:34.931 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@23811a09 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:25:36.234 INFO  comment-service [main] o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:25:36.234 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:25:36.236 INFO  comment-service [main] o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:25:36.271 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Started CommentControllerTest in 2.382 seconds (process running for 3.309)
17:25:36.399 INFO  comment-service [main] b.p.s.controller.CommentController - AddComment requested by user=joris for postId=7
17:25:36.466 INFO  comment-service [main] b.p.s.controller.CommentController - DeleteComment requested commentId=42 by user=ann
17:25:36.475 INFO  comment-service [main] b.p.s.controller.CommentController - GetCommentsByPostId called postId=5
17:25:36.488 INFO  comment-service [main] b.p.s.controller.CommentController - UpdateComment requested commentId=5 by user=ann
17:25:36.508 WARN  comment-service [main] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestHeaderException: Required request header 'username' for method parameter type String is not present]
17:27:47.495 INFO  comment-service [main] b.p.s.c.CommentControllerTest - Starting CommentControllerTest using Java 17.0.13 with PID 3020 (started by yoran in C:\Users\yoran\Java-Project\project-YoranByloosPXL\backend-java\Backend\comment-service)
17:27:47.496 DEBUG comment-service [main] b.p.s.c.CommentControllerTest - Running with Spring Boot v3.1.0, Spring v6.0.9
17:27:47.497 INFO  comment-service [main] b.p.s.c.CommentControllerTest - No active profile set, falling back to 1 default profile: "default"
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:27:47.519 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@17b64941 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
17:27:47.519 WARN  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@2125ad3 uris = array<String>['http://localhost:8088/'], optional = true, profiles = list['default']]): I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
17:27:47.519 INFO  comment-service [main] o.s.c.c.c.ConfigServerConfigDataLoader - Exception on Url - http://localhost:8088/:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8088/comment-service/default": Connection refused: getsockopt. Will be trying the next url if available
